sentence1,sentence2,score,pair_type,topic
Borsa İstanbul günü yüzde 35 değişimle kapattı.,Cumhurbaşkanı Japonya'e resmi ziyarette bulundu.,0.097234,unrelated,ekonomi|siyaset
Genç oyuncu eşiyle Trabzon'da tatil yaparken görüntülendi.,Genç oyuncu ve eşinin Trabzon tatilinden kareler paylaşıldı.,0.954242,paraphrase,magazin
pop yıldızı eşinden boşandığını duyurdu.,"fenomen isim, Muğla'da tatilde görüntülendi.",0.222247,related,magazin
"ünlü model, Ankara'da tatilde görüntülendi.",sevilen komedyen sürpriz bir törenle dünyaevine girdi.,0.246345,related,magazin
Dolar kuru güne yüzde 36 yükselişle başladı.,Merkez Bankası politika faizini sabit tuttu.,0.285154,related,ekonomi
Sevilen komedyen sevgilisiyle nişanlandı.,Sevilen komedyen mutlu haberi nişan yüzükleriyle duyurdu.,0.786364,paraphrase,magazin
Antalya'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,0.283796,unrelated,asayis|saglik
Cumhurbaşkanı Japonya'e resmi ziyarette bulundu.,Cumhurbaşkanı Fransa'e resmi ziyarette bulundu.,0.73089,related,siyaset
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Meteoroloji İzmir için kuvvetli yağış uyarısı yaptı.,0.109576,unrelated,teknoloji|hava
Uzmanlar kızamık vakalarındaki artışa dikkat çekti.,"Eyüpspor, yıldız futbolcuyla sözleşme yeniledi.",0.175045,unrelated,saglik|spor
Yıllık enflasyon yüzde 3 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 3 olarak duyurdu.,0.96058,paraphrase,ekonomi
Ana muhalefet partisi yeni kanun teklifine ilişkin açıklama yaptı.,Ana muhalefet partisi hazırladığı yasa teklifini kamuoyuna duyurdu.,0.840991,paraphrase,siyaset
Ünlü şarkıcı sevgilisiyle nişanlandı.,Ünlü şarkıcı mutlu haberi nişan yüzükleriyle duyurdu.,0.772336,paraphrase,magazin
usta oyuncu sürpriz bir törenle dünyaevine girdi.,popüler sunucu eşinden boşandığını duyurdu.,0.359885,related,magazin
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Japonya'de meydana gelen depremde maddi hasar oluştu.,0.067765,unrelated,teknoloji|dunya
Cumhurbaşkanı Çin'e resmi ziyarette bulundu.,Enerji Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.19429,related,siyaset
Aydın ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Aydın için sağanak uyarısında bulundu.,0.729279,paraphrase,hava
iktidar partisi yeni yasa teklifini meclise sundu.,Çin'de meydana gelen depremde maddi hasar oluştu.,0.024047,unrelated,siyaset|dunya
Popüler sunucu sevgilisiyle nişanlandı.,Popüler sunucu mutlu haberi nişan yüzükleriyle duyurdu.,0.724485,paraphrase,magazin
Liderler Rusya'de düzenlenen zirvede bir araya geldi.,Rusya'deki zirvede liderler önemli konuları görüştü.,0.801391,paraphrase,siyaset
"ünlü sunucu, Gaziantep'da tatilde görüntülendi.","usta oyuncu, Eskişehir'da tatilde görüntülendi.",0.651009,related,magazin
"Kasımpaşa, yıldız futbolcuyla sözleşme yeniledi.",Gaziantep FK teknik direktörüyle yollarını ayırdı.,0.378364,related,spor
Almanya iklim zirvesine ev sahipliği yapıyor.,Kuru fasulye fiyatları son bir ayda yüzde 33 arttı.,0.052985,unrelated,dunya|ekonomi
Popüler uygulama giyilebilir cihaz için yeni güncelleme yayınladı.,Antalyaspor teknik direktörüyle yollarını ayırdı.,0.128646,unrelated,teknoloji|spor
İçişleri Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,"sevilen komedyen, Ankara'da tatilde görüntülendi.",0.103324,unrelated,siyaset|magazin
Genç oyuncu eşiyle Sakarya'da tatil yaparken görüntülendi.,Genç oyuncu ve eşinin Sakarya tatilinden kareler paylaşıldı.,0.957388,paraphrase,magazin
Teknoloji şirketi yeni dizüstü bilgisayar tanıttı.,Fransa iklim zirvesine ev sahipliği yapıyor.,0.115444,unrelated,teknoloji|dunya
İstanbul'da iki aracın çarpışması sonucu 5 kişi yaralandı.,İstanbul'daki trafik kazasında 5 kişi yaralı kurtuldu.,0.904402,paraphrase,asayis
"Trabzonspor, ligi lider tamamlayarak şampiyonluğa ulaştı.",Trabzonspor sezonu zirvede bitirip şampiyon oldu.,0.903794,paraphrase,spor
Eskişehir'da meydana gelen trafik kazasında 3 kişi yaralandı.,ünlü model sürpriz bir törenle dünyaevine girdi.,0.144788,unrelated,asayis|magazin
Cumhurbaşkanı İngiltere'e resmi ziyarette bulundu.,Antalya'da meydana gelen trafik kazasında 2 kişi yaralandı.,0.117024,unrelated,siyaset|asayis
Mersin'da meydana gelen trafik kazasında 2 kişi yaralandı.,İzmir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.215114,related,asayis
Japonya iklim zirvesine ev sahipliği yapıyor.,Almanya'de yapılan seçimleri muhalefet kazandı.,0.119882,related,dunya
Fenomen isim eşiyle Adana'da tatil yaparken görüntülendi.,Fenomen isim ve eşinin Adana tatilinden kareler paylaşıldı.,0.937444,paraphrase,magazin
Kızamık vakalarında son haftalarda belirgin artış görüldü.,Sağlık yetkilileri kızamık vakalarının yükseldiğini bildirdi.,0.446274,paraphrase,saglik
Alanyaspor teknik direktörüyle yollarını ayırdı.,Cumhurbaşkanı Almanya'e resmi ziyarette bulundu.,0.071899,unrelated,spor|siyaset
Muğla'da çıkan yangın itfaiye ekiplerince söndürüldü.,İzmir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.298943,related,asayis
Aydın'a mevsimin ilk karı düştü.,fenomen isim yeni projesiyle ekranlara dönüyor.,0.26576,unrelated,hava|magazin
Uzmanlar kızamık vakalarındaki artışa dikkat çekti.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.395649,related,saglik
Yunanistan iklim zirvesine ev sahipliği yapıyor.,Merkez Bankası politika faizini sabit tuttu.,0.187089,unrelated,dunya|ekonomi
İngiltere'de meydana gelen depremde maddi hasar oluştu.,Teknoloji şirketi yeni giyilebilir cihaz tanıttı.,0.118376,unrelated,dunya|teknoloji
Uzmanlar boğaz enfeksiyonu vakalarındaki artışa dikkat çekti.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.084218,unrelated,saglik|teknoloji
Konya'da sıcaklık 31 dereceye ulaştı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.161581,unrelated,hava|saglik
Bursa'da iki aracın çarpışması sonucu 4 kişi yaralandı.,Bursa'daki trafik kazasında 4 kişi yaralı kurtuldu.,0.903842,paraphrase,asayis
Dolar kuru güne yüzde 7 yükselişle başladı.,Dolar kuru güne yüzde 19 yükselişle başladı.,0.776302,related,ekonomi
Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,Uzmanlar grip vakalarındaki artışa dikkat çekti.,0.913279,related,saglik
"Beşiktaş, Antalyaspor karşısında sahadan 4-1 galip ayrıldı.",Beşiktaş evinde Antalyaspor'yi 4-1'lik skorla yendi.,0.894182,paraphrase,spor
Muğla'da iki aracın çarpışması sonucu 2 kişi yaralandı.,Muğla'daki trafik kazasında 2 kişi yaralı kurtuldu.,0.885494,paraphrase,asayis
Ulaştırma Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Cumhurbaşkanı Yunanistan'e resmi ziyarette bulundu.,0.1662,related,siyaset
Fenomen isim eşiyle Samsun'da tatil yaparken görüntülendi.,Fenomen isim ve eşinin Samsun tatilinden kareler paylaşıldı.,0.9382,paraphrase,magazin
İçişleri Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Rusya iklim zirvesine ev sahipliği yapıyor.,0.013337,unrelated,siyaset|dunya
Meteoroloji Sakarya için kuvvetli yağış uyarısı yaptı.,Meteoroloji Trabzon için kuvvetli yağış uyarısı yaptı.,0.67373,related,hava
Dolar kuru güne yüzde 9 yükselişle başladı.,"usta oyuncu, Gaziantep'da tatilde görüntülendi.",0.128856,unrelated,ekonomi|magazin
Yunanistan'de yapılan seçimleri muhalefet kazandı.,Sağlık Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.159974,unrelated,dunya|siyaset
Uzmanlar şeker hastalığı vakalarındaki artışa dikkat çekti.,İzmir'a mevsimin ilk karı düştü.,0.130136,unrelated,saglik|hava
İstanbul'da iki aracın çarpışması sonucu 3 kişi yaralandı.,İstanbul'daki trafik kazasında 3 kişi yaralı kurtuldu.,0.894893,paraphrase,asayis
Konya'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Konya'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.82353,paraphrase,asayis
Popüler uygulama sohbet robotu için yeni güncelleme yayınladı.,Hollanda'de meydana gelen depremde maddi hasar oluştu.,0.13509,unrelated,teknoloji|dunya
Meteoroloji Denizli için kuvvetli yağış uyarısı yaptı.,Meteoroloji Aydın için kuvvetli yağış uyarısı yaptı.,0.725458,related,hava
"Adana Demirspor, yıldız futbolcuyla sözleşme yeniledi.",Cumhurbaşkanı Japonya'e resmi ziyarette bulundu.,0.096375,unrelated,spor|siyaset
mecliste grubu bulunan bir parti yeni yasa teklifini meclise sundu.,koalisyon ortağı yeni yasa teklifini meclise sundu.,0.813475,related,siyaset
Mecliste grubu bulunan bir parti yeni kanun teklifine ilişkin açıklama yaptı.,Mecliste grubu bulunan bir parti hazırladığı yasa teklifini kamuoyuna duyurdu.,0.852572,paraphrase,siyaset
İtalya'de yapılan seçimleri muhalefet kazandı.,"Fenerbahçe, yıldız futbolcuyla sözleşme yeniledi.",0.094283,unrelated,dunya|spor
Diyarbakır'da çıkan yangın itfaiye ekiplerince söndürüldü.,popüler sunucu eşinden boşandığını duyurdu.,0.176609,unrelated,asayis|magazin
Meteoroloji İzmir için kuvvetli yağış uyarısı yaptı.,Diyarbakır'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.340231,unrelated,hava|asayis
"Galatasaray, tecrübeli oyuncuyla anlaşmaya vardı.",Galatasaray deneyimli futbolcuyu kadrosuna kattı.,0.771298,paraphrase,spor
Çin iklim zirvesine ev sahipliği yapıyor.,İtalya iklim zirvesine ev sahipliği yapıyor.,0.75335,related,dunya
İtalya'de meydana gelen depremde maddi hasar oluştu.,"sevilen sanatçı, Bolu'da tatilde görüntülendi.",0.065957,unrelated,dunya|magazin
Meteoroloji Mersin için kuvvetli yağış uyarısı yaptı.,ABD'de meydana gelen depremde maddi hasar oluştu.,0.270176,unrelated,hava|dunya
Ünlü model eşiyle Sakarya'da tatil yaparken görüntülendi.,Ünlü model ve eşinin Sakarya tatilinden kareler paylaşıldı.,0.959614,paraphrase,magazin
Bursa'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Bursa'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.838202,paraphrase,asayis
Teknoloji şirketi yeni oyun konsolu tanıttı.,Popüler uygulama oyun konsolu için yeni güncelleme yayınladı.,0.693368,related,teknoloji
Ankara'a mevsimin ilk karı düştü.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.154399,unrelated,hava|saglik
"Trabzonspor, Konyaspor karşısında sahadan 2-0 galip ayrıldı.",Trabzonspor evinde Konyaspor'yi 2-0'lik skorla yendi.,0.891169,paraphrase,spor
usta oyuncu eşinden boşandığını duyurdu.,popüler sunucu eşinden boşandığını duyurdu.,0.860225,related,magazin
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,İngiltere'de meydana gelen depremde maddi hasar oluştu.,0.058355,unrelated,teknoloji|dunya
Bolu'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Bolu'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.806861,paraphrase,asayis
Japonya iklim zirvesine ev sahipliği yapıyor.,Yunanistan iklim zirvesine ev sahipliği yapıyor.,0.700047,related,dunya
Ödüllü yönetmen yeni bir aşka yelken açtı.,Ödüllü yönetmen yeni sevgilisiyle ilk kez birlikte görüntülendi.,0.867011,paraphrase,magazin
Japonya iklim zirvesine ev sahipliği yapıyor.,İtalya'de meydana gelen depremde maddi hasar oluştu.,0.15678,related,dunya
Hatayspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Yunanistan iklim zirvesine ev sahipliği yapıyor.,-0.039163,unrelated,spor|dunya
Liderler İngiltere'de düzenlenen zirvede bir araya geldi.,İngiltere'deki zirvede liderler önemli konuları görüştü.,0.813337,paraphrase,siyaset
Adana'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,İzmir'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.273071,related,asayis
"Alanyaspor, yıldız futbolcuyla sözleşme yeniledi.",Popüler uygulama dizüstü bilgisayar için yeni güncelleme yayınladı.,0.215352,unrelated,spor|teknoloji
Samsun'da sıcaklık 35 dereceye ulaştı.,Bolu'da sıcaklık 34 dereceye ulaştı.,0.677854,related,hava
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Popüler uygulama elektrikli otomobil için yeni güncelleme yayınladı.,0.218112,related,teknoloji
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,ünlü sunucu sürpriz bir törenle dünyaevine girdi.,0.245126,unrelated,saglik|magazin
iktidar partisi yeni yasa teklifini meclise sundu.,"Beşiktaş, yıldız futbolcuyla sözleşme yeniledi.",0.129119,unrelated,siyaset|spor
Bodrum FK'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,"Bodrum FK, yıldız futbolcuyla sözleşme yeniledi.",0.493234,related,spor
Adana'da iki aracın çarpışması sonucu 5 kişi yaralandı.,Adana'daki trafik kazasında 5 kişi yaralı kurtuldu.,0.911146,paraphrase,asayis
popüler sunucu eşinden boşandığını duyurdu.,Adana'a mevsimin ilk karı düştü.,0.156424,unrelated,magazin|hava
"Başakşehir, yıldız futbolcuyla sözleşme yeniledi.","Gaziantep FK, yıldız futbolcuyla sözleşme yeniledi.",0.851001,related,spor
Meteoroloji Bursa için kuvvetli yağış uyarısı yaptı.,sevilen sanatçı yeni projesiyle ekranlara dönüyor.,0.123083,unrelated,hava|magazin
Şeker hastalığı vakalarında son haftalarda belirgin artış görüldü.,Sağlık yetkilileri şeker hastalığı vakalarının yükseldiğini bildirdi.,0.754165,paraphrase,saglik
Cumhurbaşkanı ABD'e resmi ziyarette bulundu.,sevilen komedyen sürpriz bir törenle dünyaevine girdi.,0.244661,unrelated,siyaset|magazin
Denizli ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Denizli için sağanak uyarısında bulundu.,0.612102,paraphrase,hava
Grip vakalarında son haftalarda belirgin artış görüldü.,Sağlık yetkilileri grip vakalarının yükseldiğini bildirdi.,0.6911,paraphrase,saglik
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Popüler uygulama dizüstü bilgisayar için yeni güncelleme yayınladı.,0.206737,related,teknoloji
İzmir'da meydana gelen trafik kazasında 2 kişi yaralandı.,Mersin'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.285416,related,asayis
Denizli'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Denizli'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.825683,paraphrase,asayis
Diyarbakır'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Diyarbakır'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.837682,paraphrase,asayis
Meteoroloji Antalya için kuvvetli yağış uyarısı yaptı.,Teknoloji şirketi yeni yapay zeka modeli tanıttı.,0.189033,unrelated,hava|teknoloji
Beşiktaş'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.100211,unrelated,spor|saglik
mecliste grubu bulunan bir parti yeni yasa teklifini meclise sundu.,iktidar partisi yeni yasa teklifini meclise sundu.,0.937797,related,siyaset
Iktidar partisi yeni kanun teklifine ilişkin açıklama yaptı.,Iktidar partisi hazırladığı yasa teklifini kamuoyuna duyurdu.,0.823046,paraphrase,siyaset
Merkez Bankası politika faizini sabit tuttu.,Peynir fiyatları son bir ayda yüzde 11 arttı.,0.16743,related,ekonomi
İzmir'a mevsimin ilk karı düştü.,İstanbul'da sıcaklık 36 dereceye ulaştı.,0.226667,related,hava
Çin iklim zirvesine ev sahipliği yapıyor.,Uzmanlar kızamık vakalarındaki artışa dikkat çekti.,0.230209,unrelated,dunya|saglik
Muz fiyatları son bir ayda yüzde 39 arttı.,Dolar kuru güne yüzde 14 yükselişle başladı.,0.370137,related,ekonomi
Samsun'da sıcaklık 34 dereceye ulaştı.,Antalya'da sıcaklık 32 dereceye ulaştı.,0.580517,related,hava
Patates fiyatları son bir ayda yüzde 6 arttı.,Trabzon'da sıcaklık 34 dereceye ulaştı.,0.123167,unrelated,ekonomi|hava
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,0.080862,unrelated,teknoloji|saglik
Muğla'da çıkan yangın itfaiye ekiplerince söndürüldü.,Trabzon'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.195397,related,asayis
Konya'da meydana gelen trafik kazasında 2 kişi yaralandı.,mecliste grubu bulunan bir parti yeni yasa teklifini meclise sundu.,0.050124,unrelated,asayis|siyaset
Teknoloji devi yeni elektrikli otomobil modelini duyurdu.,Şirket güncellenmiş elektrikli otomobil sürümünü kullanıma sundu.,0.799615,paraphrase,teknoloji
"Gaziantep FK, yıldız futbolcuyla sözleşme yeniledi.",Adana'da meydana gelen trafik kazasında 2 kişi yaralandı.,0.113866,unrelated,spor|asayis
Konya'a mevsimin ilk karı düştü.,Samsun'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.250468,unrelated,hava|asayis
Japonya iklim zirvesine ev sahipliği yapıyor.,Trabzonspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,-0.025169,unrelated,dunya|spor
Trabzon'da çıkan yangın itfaiye ekiplerince söndürüldü.,Çay fiyatları son bir ayda yüzde 39 arttı.,0.149619,unrelated,asayis|ekonomi
Koalisyon ortağı yeni kanun teklifine ilişkin açıklama yaptı.,Koalisyon ortağı hazırladığı yasa teklifini kamuoyuna duyurdu.,0.838365,paraphrase,siyaset
Diyarbakır'a mevsimin ilk karı düştü.,Muğla'da sıcaklık 41 dereceye ulaştı.,0.19155,related,hava
"fenomen isim, Eskişehir'da tatilde görüntülendi.",Pirinç fiyatları son bir ayda yüzde 24 arttı.,0.134313,unrelated,magazin|ekonomi
Yunanistan iklim zirvesine ev sahipliği yapıyor.,İstanbul'a mevsimin ilk karı düştü.,0.17229,unrelated,dunya|hava
Merkez Bankası politika faizini sabit tuttu.,Borsa İstanbul günü yüzde 27 değişimle kapattı.,0.190138,related,ekonomi
Dolar kuru güne yüzde 40 yükselişle başladı.,Hollanda'de meydana gelen depremde maddi hasar oluştu.,0.210295,unrelated,ekonomi|dunya
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Teknoloji şirketi yeni giyilebilir cihaz tanıttı.,0.397048,related,teknoloji
Muğla'da meydana gelen trafik kazasında 1 kişi yaralandı.,"Rizespor, yıldız futbolcuyla sözleşme yeniledi.",0.116883,unrelated,asayis|spor
"Antalyaspor, sahasında Gaziantep FK'yi 1-3 mağlup etti.","Göztepe, yıldız futbolcuyla sözleşme yeniledi.",0.227232,related,spor
"Hatayspor, ligi lider tamamlayarak şampiyonluğa ulaştı.",Hatayspor sezonu zirvede bitirip şampiyon oldu.,0.916221,paraphrase,spor
Popüler uygulama giyilebilir cihaz için yeni güncelleme yayınladı.,Popüler uygulama sohbet robotu için yeni güncelleme yayınladı.,0.767073,related,teknoloji
Teknoloji şirketi yeni işletim sistemi tanıttı.,Japonya'de meydana gelen depremde maddi hasar oluştu.,0.098944,unrelated,teknoloji|dunya
"Başakşehir, yıldız futbolcuyla sözleşme yeniledi.",Merkez Bankası politika faizini sabit tuttu.,0.078763,unrelated,spor|ekonomi
Cumhurbaşkanı Çin'e resmi ziyarette bulundu.,Tarım ve Orman Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.133509,related,siyaset
Hollanda'de meydana gelen depremde maddi hasar oluştu.,Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,0.236671,unrelated,dunya|saglik
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,sevilen komedyen yeni projesiyle ekranlara dönüyor.,0.162723,unrelated,teknoloji|magazin
"Antalyaspor, Eyüpspor karşısında sahadan 1-2 galip ayrıldı.",Antalyaspor evinde Eyüpspor'yi 1-2'lik skorla yendi.,0.899118,paraphrase,spor
"Galatasaray, Rizespor karşısında sahadan 1-2 galip ayrıldı.",Galatasaray evinde Rizespor'yi 1-2'lik skorla yendi.,0.853051,paraphrase,spor
Samsun'da hava sıcaklığı mevsim normallerinin üzerine çıktı.,Samsun beklenenden daha sıcak bir güne uyandı.,0.703967,paraphrase,hava
Kuru fasulye fiyatları son bir ayda yüzde 26 arttı.,İzmir'da meydana gelen trafik kazasında 3 kişi yaralandı.,0.082117,unrelated,ekonomi|asayis
Meteoroloji Eskişehir için kuvvetli yağış uyarısı yaptı.,Adana'a mevsimin ilk karı düştü.,0.238652,related,hava
pop yıldızı yeni projesiyle ekranlara dönüyor.,Adana Demirspor teknik direktörüyle yollarını ayırdı.,0.099865,unrelated,magazin|spor
Sivasspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Meteoroloji Bursa için kuvvetli yağış uyarısı yaptı.,0.110439,unrelated,spor|hava
Adana'da hava sıcaklığı mevsim normallerinin üzerine çıktı.,Adana beklenenden daha sıcak bir güne uyandı.,0.725668,paraphrase,hava
Sağlık Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Cumhurbaşkanı Rusya'e resmi ziyarette bulundu.,0.174268,related,siyaset
Konya'da iki aracın çarpışması sonucu 6 kişi yaralandı.,Konya'daki trafik kazasında 6 kişi yaralı kurtuldu.,0.894254,paraphrase,asayis
Fransa'de düzenlenen genel seçimlerde sonuçlar belli oldu.,Fransa halkı sandık başına giderek yeni yönetimini seçti.,0.606471,paraphrase,dunya
"Rizespor, yıldız futbolcuyla sözleşme yeniledi.",Ankara'da meydana gelen trafik kazasında 3 kişi yaralandı.,0.117357,unrelated,spor|asayis
Adana'a mevsimin ilk karı düştü.,popüler sunucu sürpriz bir törenle dünyaevine girdi.,0.163562,unrelated,hava|magazin
Kayserispor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Antalyaspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.841237,related,spor
Kayseri'a mevsimin ilk karı düştü.,Diyarbakır'da sıcaklık 31 dereceye ulaştı.,0.192734,related,hava
"Trabzonspor, tecrübeli oyuncuyla anlaşmaya vardı.",Trabzonspor deneyimli futbolcuyu kadrosuna kattı.,0.814418,paraphrase,spor
Teknoloji şirketi yeni oyun konsolu tanıttı.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.365824,related,teknoloji
"Antalyaspor, ligi lider tamamlayarak şampiyonluğa ulaştı.",Antalyaspor sezonu zirvede bitirip şampiyon oldu.,0.909734,paraphrase,spor
Cumhurbaşkanı Almanya'e resmi ziyarette bulundu.,Trabzon'a mevsimin ilk karı düştü.,0.062166,unrelated,siyaset|hava
Cumhurbaşkanı İngiltere'e resmi ziyarette bulundu.,Cumhurbaşkanı Çin'e resmi ziyarette bulundu.,0.760287,related,siyaset
Yıllık enflasyon yüzde 19 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 19 olarak duyurdu.,0.957562,paraphrase,ekonomi
Antalya'a mevsimin ilk karı düştü.,Almanya'de meydana gelen depremde maddi hasar oluştu.,0.219034,unrelated,hava|dunya
usta oyuncu eşinden boşandığını duyurdu.,Mersin'da meydana gelen trafik kazasında 5 kişi yaralandı.,0.089638,unrelated,magazin|asayis
Soğan fiyatları son bir ayda yüzde 18 arttı.,Dolar kuru güne yüzde 24 yükselişle başladı.,0.41472,related,ekonomi
Bursa'da sıcaklık 39 dereceye ulaştı.,İngiltere iklim zirvesine ev sahipliği yapıyor.,0.321707,unrelated,hava|dunya
iktidar partisi yeni yasa teklifini meclise sundu.,"Hatayspor, sahasında Beşiktaş'yi 4-1 mağlup etti.",0.030906,unrelated,siyaset|spor
Uzmanlar migren vakalarındaki artışa dikkat çekti.,Meteoroloji Diyarbakır için kuvvetli yağış uyarısı yaptı.,0.257796,unrelated,saglik|hava
Teknoloji şirketi yeni akıllı telefon tanıttı.,Teknoloji şirketi yeni işletim sistemi tanıttı.,0.716166,related,teknoloji
Adana Demirspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,-0.002094,unrelated,spor|teknoloji
"Eyüpspor, tecrübeli oyuncuyla anlaşmaya vardı.",Eyüpspor deneyimli futbolcuyu kadrosuna kattı.,0.735617,paraphrase,spor
"Gaziantep FK, tecrübeli oyuncuyla anlaşmaya vardı.",Gaziantep FK deneyimli futbolcuyu kadrosuna kattı.,0.834033,paraphrase,spor
Borsa İstanbul günü yüzde 5 değişimle kapattı.,Meteoroloji Adana için kuvvetli yağış uyarısı yaptı.,0.14276,unrelated,ekonomi|hava
Uzmanlar grip vakalarındaki artışa dikkat çekti.,Teknoloji şirketi yeni elektrikli otomobil tanıttı.,0.097827,unrelated,saglik|teknoloji
Cumhurbaşkanı Çin'e resmi ziyarette bulundu.,İzmir'a mevsimin ilk karı düştü.,0.074071,unrelated,siyaset|hava
Ankara'da iki aracın çarpışması sonucu 3 kişi yaralandı.,Ankara'daki trafik kazasında 3 kişi yaralı kurtuldu.,0.907712,paraphrase,asayis
"Kasımpaşa, tecrübeli oyuncuyla anlaşmaya vardı.",Kasımpaşa deneyimli futbolcuyu kadrosuna kattı.,0.729394,paraphrase,spor
Ünlü sunucu eşiyle Sakarya'da tatil yaparken görüntülendi.,Ünlü sunucu ve eşinin Sakarya tatilinden kareler paylaşıldı.,0.960197,paraphrase,magazin
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Hazine ve Maliye Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.173811,unrelated,teknoloji|siyaset
Cumhurbaşkanı Almanya'e resmi ziyarette bulundu.,Sağlık Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.169287,related,siyaset
Eyüpspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,"popüler sunucu, Samsun'da tatilde görüntülendi.",0.144218,unrelated,spor|magazin
"Adana Demirspor, sahasında Fenerbahçe'yi 2-2 mağlup etti.",Rizespor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.310478,related,spor
"Kasımpaşa, sahasında Samsunspor'yi 0-3 mağlup etti.","Rizespor, yıldız futbolcuyla sözleşme yeniledi.",0.120951,related,spor
Teknoloji şirketi yeni oyun konsolu tanıttı.,sevilen komedyen eşinden boşandığını duyurdu.,0.083041,unrelated,teknoloji|magazin
Çin iklim zirvesine ev sahipliği yapıyor.,ana muhalefet partisi yeni yasa teklifini meclise sundu.,0.003236,unrelated,dunya|siyaset
İstanbul ve çevresi için sağanak yağış bekleniyor.,Meteoroloji İstanbul için sağanak uyarısında bulundu.,0.735488,paraphrase,hava
Genç oyuncu eşiyle İstanbul'da tatil yaparken görüntülendi.,Genç oyuncu ve eşinin İstanbul tatilinden kareler paylaşıldı.,0.955131,paraphrase,magazin
Çin'de yapılan seçimleri muhalefet kazandı.,İtalya iklim zirvesine ev sahipliği yapıyor.,0.124932,related,dunya
